1983,110000,北京市,183.13,12.85,112.65,98.76,13.89,57.63,9.06,13.63,0,16,2.42,16.52,7.0169,61.5137,31.4694,1943,116.4,107.5,113.6,124.2
1982,110000,北京市,154.94,10.34,99.79,89.3,10.49,44.81,8.25,11.05,0,9.83,2.01,13.67,6.6736,64.4056,28.9209,1671,107.4,113.4,105.8,109.9
1981,110000,北京市,139.15,6.61,92.52,82.71,9.81,40.02,7.6,11.86,0,5.44,1.92,13.2,4.7503,66.4894,28.7603,1526,99.5,109.1,96.3,106
1980,110000,北京市,139.07,6.07,95.79,86.94,8.85,37.21,6.96,11.01,0,6.47,1.79,10.98,4.3647,68.879,26.7563,1544,111.8,109.3,110.1,118.5
1979,110000,北京市,120.11,5.17,85.18,77.37,7.81,29.76,6.55,8.79,0,3.36,1.55,9.51,4.3044,70.9183,24.7773,1358,109.7,105,109.2,113.2
1978,110000,北京市,108.84,5.63,77.43,70.22,7.21,25.78,7,8.28,0,1.91,0.85,7.74,5.1727,71.1411,23.6861,1257,110.5,109,115.1,97.7
1977,110000,北京市,99.09,5.17,67.26,62.55,4.71,26.66,6.55,7.24,0,0,0,0,5.2175,67.8777,26.9048,1189,106.8,92.4,107.8,107.6
1976,110000,北京市,93.84,5.58,63.59,59.85,3.74,24.67,5.86,6.44,0,0,0,0,5.9463,67.7643,26.2894,1137,103.3,109.9,103.9,100
1975,110000,北京市,91.25,6.04,60.5,56.09,4.41,24.71,6.1,6.81,0,0,0,0,6.6192,66.3014,27.0795,1115,113.2,101.7,107.8,136.9
1974,110000,北京市,80.19,5.6,56.38,52.95,3.43,18.21,4.54,3.91,0,0,0,0,6.9834,70.308,22.7086,990,109.6,98.9,111,108.1
1973,110000,北京市,73.03,6.03,50.45,47.59,2.86,16.55,3.76,5.98,0,0,0,0,8.2569,69.0812,22.6619,914,108.2,109.7,107.2,111.5
1972,110000,北京市,67.19,5.37,47.01,44.8,2.21,14.81,3.37,5.14,0,0,0,0,7.9923,69.9658,22.042,853,86.8,115.7,80,113.1
1971,110000,北京市,61.14,6.28,41.91,39.75,2.16,12.95,3.07,4.99,0,0,0,0,10.2715,68.5476,21.1809,787,111.5,101.7,112.8,108.7
1970,110000,北京市,63.37,6.48,45.06,42.61,2.45,11.83,2.88,4.55,0,0,0,0,10.2257,71.1062,18.6681,824,144.3,136.8,159.8,95.9
